"date","year","season_week","SW_median_daily"
2009-05-29,2009,1,97.0475025
2009-06-04,2009,2,203.8570023
2009-06-11,2009,3,156.9694977
2009-06-17,2009,4,214.0060043
2009-06-25,2009,5,138.6910019
2009-07-02,2009,6,138.72999955
2009-07-09,2009,7,145.35150145
2009-07-16,2009,8,115.05599977
2009-07-23,2009,9,170.5329971
2009-07-30,2009,10,146.5285034
2009-08-06,2009,11,151.87000275
2009-08-13,2009,12,109.76000215
2009-08-20,2009,13,91.0419998
2009-08-27,2009,14,100.28700256
2009-09-01,2009,15,79.812002185
2009-09-08,2009,16,53.754001615
2009-09-15,2009,17,31.559999465
2009-09-21,2009,18,24.162000655
2009-09-24,2009,19,18.708999635
2009-10-05,2009,20,5.00699997
2010-05-25,2010,1,191.625
2010-06-04,2010,2,153.2884979
2010-06-10,2010,3,88.133499135
2010-06-15,2010,4,213.9564972
2010-06-24,2010,5,130.571003
2010-07-01,2010,6,205.59700015
2010-07-08,2010,7,160.73750305
2010-07-15,2010,8,186.7314987
2010-07-22,2010,9,171.46800235
2010-07-29,2010,10,137.96450045
2010-08-05,2010,11,98.05350113
2010-08-12,2010,12,136.52550125
2010-08-19,2010,13,117.68700025
2010-08-26,2010,14,58.22649956
2010-09-02,2010,15,73.11700058
2010-09-09,2010,16,26.1750001925
2010-09-16,2010,17,24.86700058
2010-09-23,2010,18,21.302999495
2010-09-30,2010,19,6.817500115
2010-10-07,2010,20,1.1894999745
2011-05-26,2011,1,190.3635025
2011-06-02,2011,2,114.068500525
2011-06-10,2011,3,167.81950375
2011-06-16,2011,4,209.18450165
2011-06-23,2011,5,129.54649736
2011-06-30,2011,6,175.098999
2011-07-07,2011,7,209.1470032
2011-07-14,2011,8,171.7294998
2011-07-21,2011,9,186.2064972
2011-07-28,2011,10,172.9759979
2011-08-04,2011,11,135.7750015
2011-08-11,2011,12,146.8235016
2011-08-18,2011,13,126.12200165
2011-08-25,2011,14,78.59700201
2011-09-01,2011,15,66.472005845
2011-09-08,2011,16,22.76649952
2011-09-15,2011,17,19.336000445
2011-09-22,2011,18,14.282500265
2011-09-29,2011,19,6.6255002
2011-10-06,2011,20,5.97450018
2012-05-24,2012,1,126.255004865
2012-05-31,2012,2,128.5485039
2012-06-07,2012,3,117.8220024
2012-06-14,2012,4,183.34249875
2012-06-21,2012,5,203.7200012
2012-06-28,2012,6,186.8850021
2012-07-05,2012,7,190.13150025
2012-07-12,2012,8,203.9850006
2012-07-19,2012,9,176.6720047
2012-07-26,2012,10,74.913497925
2012-08-02,2012,11,163.65850065
2012-08-09,2012,12,120.645000435
2012-08-16,2012,13,116.31850055
2012-08-23,2012,14,106.934001905
2012-08-30,2012,15,83.49250028
2012-09-06,2012,16,56.90199852
2012-09-13,2012,17,32.28699875
2012-09-20,2012,18,24.364500045
2012-09-27,2012,19,13.236499785
2012-10-05,2012,20,4.9530000685
2013-05-23,2013,1,151.70299915
2013-05-30,2013,2,189.5810013
2013-06-06,2013,3,171.18650055
2013-06-13,2013,4,103.873001105
2013-06-20,2013,5,198.48000335
2013-06-27,2013,6,164.79750065
2013-07-03,2013,7,128.604999535
2013-07-11,2013,8,186.16150665
2013-07-18,2013,9,173.5415039
2013-07-25,2013,10,148.3615036
2013-08-01,2013,11,81.660999285
2013-08-08,2013,12,114.390003225
2013-08-15,2013,13,127.66500095
2013-08-22,2013,14,108.75500108
2013-08-29,2013,15,54.03549957
2013-09-05,2013,16,40.032499315
2013-09-11,2013,17,37.6394991875
2013-09-18,2013,18,27.31349945
2013-09-25,2013,19,18.14299965
2013-10-02,2013,20,10.312999725
2014-05-29,2014,1,200.83799745
2014-06-05,2014,2,140.9300003
2014-06-12,2014,3,79.801998135
2014-06-19,2014,4,207.38899995
2014-06-26,2014,5,121.513004305
2014-07-02,2014,6,135.38399505
2014-07-09,2014,7,200.91300205
2014-07-17,2014,8,196.6070023
2014-07-23,2014,9,148.3409996
2014-07-30,2014,10,127.92250065
2014-08-06,2014,11,90.77050018
2014-08-12,2014,12,139.6464996
2014-08-20,2014,13,119.1419983
2014-08-27,2014,14,89.371002215
2014-09-04,2014,15,64.756502155
2014-09-10,2014,16,43.370500085
2014-09-17,2014,17,28.74799919
2014-09-25,2014,18,20.476999285
2014-10-03,2014,19,9.09200001
2014-10-10,2014,20,0.790499985
2015-05-21,2015,1,184.6640015
2015-05-28,2015,2,171.651001
2015-06-05,2015,3,106.42999651
2015-06-11,2015,4,203.5629959
2015-06-19,2015,5,166.647995
2015-06-25,2015,6,175.3085022
2015-07-02,2015,7,205.84799955
2015-07-09,2015,8,97.837001785
2015-07-16,2015,9,192.7330017
2015-07-23,2015,10,183.0525055
2015-07-30,2015,11,135.04700087
2015-08-06,2015,12,137.1819992
2015-08-13,2015,13,136.59399795
2015-08-20,2015,14,108.50950243
2015-08-25,2015,15,69.39099884
2015-09-03,2015,16,70.62400055
2015-09-10,2015,17,24.600999594
2015-09-17,2015,18,28.201000215
2015-09-24,2015,19,19.180000305
2015-10-02,2015,20,12.53600025
2016-05-26,2016,1,193.42199705
2016-06-03,2016,2,170.5335007
2016-06-09,2016,3,100.85650253
2016-06-16,2016,4,181.45300295
2016-06-23,2016,5,203.63600155
2016-06-30,2016,6,206.4540024
2016-07-07,2016,7,176.34299465
2016-07-14,2016,8,167.14350125
2016-07-21,2016,9,189.25499725
2016-07-27,2016,10,174.2259979
2016-08-04,2016,11,168.66449735
2016-08-11,2016,12,137.43299865
2016-08-15,2016,13,132.54500195
2016-08-22,2016,14,105.802497885
2016-08-31,2016,15,72.41999817
2016-09-07,2016,16,50.013998985
2016-09-14,2016,17,30.840999605
2016-09-21,2016,18,22.33200073
2016-09-28,2016,19,11.833000185
2016-10-05,2016,20,5.622000215
