site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,WindDir_deg_mean,WindSp_ms_mean,AveWindSp_ms_mean,MaxWindSp_ms_mean,WindDir_deg_median,WindSp_ms_median,AveWindSp_ms_median,MaxWindSp_ms_median,WindDir_deg_min,WindSp_ms_min,AveWindSp_ms_min,MaxWindSp_ms_min,WindDir_deg_max,WindSp_ms_max,AveWindSp_ms_max,MaxWindSp_ms_max,WindDir_deg_sd,WindSp_ms_sd,AveWindSp_ms_sd,MaxWindSp_ms_sd,WindSp_ms_cv,AveWindSp_ms_cv,MaxWindSp_ms_cv
Midge,2005-07-21,2005,7,21,202,0.077809644,NA,0.077809644,NA,-1.089324144,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-07-28,2005,7,28,209,0.452710658,NA,0.452710658,0.374901014,-0.340739387,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-04,2005,8,4,216,0.113177665,NA,0.113177665,-0.339532994,-0.932640213,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-11,2005,8,11,223,1.152997457,NA,1.152997457,1.039819793,0.063182233,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-18,2005,8,18,230,0.657845175,NA,0.657845175,-0.495152282,-0.179506147,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-08-25,2005,8,25,237,0.488078678,NA,0.488078678,-0.169766497,-0.308318625,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-03,2005,9,3,246,1.817916237,NA,1.817916237,1.329837558,0.260433047,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-12,2005,9,12,255,3.232637043,NA,3.232637043,1.414720807,0.510040325,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-20,2005,9,20,263,0.014147208,NA,0.014147208,-3.218489835,-1.750869961,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2005-09-25,2005,9,25,268,0.183913705,NA,0.183913705,0.169766497,-0.726966985,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-06-29,2006,6,29,180,0.33245939,NA,0.33245939,0.148545685,-0.473583965,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-06,2006,7,6,187,0.275870557,NA,0.275870557,-0.056588833,-0.553663939,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-13,2006,7,13,194,2.284774103,NA,2.284774103,2.008903546,0.359527024,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-17,2006,7,17,198,3.246784251,NA,3.246784251,0.962010148,0.511934705,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-23,2006,7,23,204,0.007073604,NA,0.007073604,-3.239710647,-1.971688914,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-07-31,2006,7,31,212,3.317520292,NA,3.317520292,3.310446688,0.521284606,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-07,2006,8,7,219,1.846210653,NA,1.846210653,-1.471309639,0.267127276,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-14,2006,8,14,226,1.068114209,NA,1.068114209,-0.778096444,0.030078989,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-21,2006,8,21,233,0.94786294,NA,0.94786294,-0.120251269,-0.021608123,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-08-28,2006,8,28,240,1.124703041,NA,1.124703041,0.176840101,0.052425759,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-08,2006,9,8,251,2.857736029,NA,2.857736029,1.733032988,0.456568863,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-12,2006,9,12,255,0.346606598,NA,0.346606598,-2.511129431,-0.455675676,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2006-09-18,2006,9,18,261,0.268796953,NA,0.268796953,-0.077809645,-0.564797755,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-21,2007,6,21,172,0,0,0,-0.268796953,-2.443697499,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-06-28,2007,6,28,179,0.014147208,0,0.014147208,0.014147208,-1.750869961,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-05,2007,7,5,186,0.240502537,0,0.240502537,0.226355329,-0.612427707,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-12,2007,7,12,193,0.056588832,0.014147208,0.07073604,-0.169766497,-1.128800578,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-19,2007,7,19,200,0.091956852,0.190987309,0.282944161,0.212208121,-0.542808437,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-07-26,2007,7,26,207,0.551741115,0.176840101,0.728581215,0.445637054,-0.135381418,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-02,2007,8,2,214,1.619855324,3.077017754,4.696873078,3.968291863,0.67214157,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-09,2007,8,9,221,5.658883227,10.56089082,16.21977405,11.52290097,1.210141181,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-16,2007,8,16,228,0.8771269,0.679065987,1.556192887,-14.66358116,0.193066936,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-23,2007,8,23,235,0.580035531,0.077809644,0.657845175,-0.898347712,-0.179506147,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-08-30,2007,8,30,242,22.15452783,0.43856345,22.59309128,21.93524611,1.354044852,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-09-06,2007,9,6,249,4.78882993,0,4.78882993,-17.80426135,0.680555772,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-09-13,2007,9,13,256,3.466065976,0,3.466065976,-1.322763954,0.540287667,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2007-09-20,2007,9,20,263,2.440393391,0.014147208,2.4545406,-1.011525377,0.39060672,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-06-05,2008,6,5,157,0,0,0,-2.4545406,-2.443697499,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-06-12,2008,6,12,164,0.056588832,0,0.056588832,0.056588832,-1.220484084,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-06-19,2008,6,19,171,0.572961927,0,0.572961927,0.516373094,-0.239154039,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-06-26,2008,6,26,178,0.247576141,0,0.247576141,-0.325385786,-0.600021616,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-07-03,2008,7,3,185,2.829441613,0.113177665,2.942619278,2.695043137,0.469265067,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-07-10,2008,7,10,192,0.954936545,0,0.954936545,-1.987682733,-0.018391325,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-07-17,2008,7,17,199,3.727789325,0,3.727789325,2.772852781,0.571870565,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-07-24,2008,7,24,206,0.523446698,0.007073604,0.530520303,-3.197269023,-0.272360913,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-07-31,2008,7,31,213,10.8721294,0.113177665,10.98530706,10.45478676,1.0409545,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-08-07,2008,8,7,220,1.181291874,0.014147208,1.195439082,-9.789867981,0.078833339,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-08-14,2008,8,14,227,0.222818527,0.03536802,0.258186547,-0.937252534,-0.582052675,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-08-21,2008,8,21,234,0.622477155,0.014147208,0.636624363,0.378437816,-0.193667803,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-08-26,2008,8,26,239,0.106104061,0,0.106104061,-0.530520303,-0.959777296,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-09-04,2008,9,4,248,0.749802028,0,0.749802028,0.643697967,-0.122973215,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-09-10,2008,9,10,254,0.014147208,0,0.014147208,-0.735654819,-1.750869961,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-09-17,2008,9,17,261,0.198060913,0,0.198060913,0.183913705,-0.695378271,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2008-09-24,2008,9,24,268,0.226355329,0,0.226355329,0.028294416,-0.638356522,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-05-15,2009,5,15,135,0,0,0,-0.226355329,-2.443697499,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-05-29,2009,5,29,149,0.014147208,0,0.014147208,0.014147208,-1.750869961,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-04,2009,6,4,155,0.007073604,0,0.007073604,-0.007073604,-1.971688914,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-17,2009,6,17,168,0.03536802,0,0.03536802,0.028294416,-1.409291661,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-06-25,2009,6,25,176,0.014147208,0,0.014147208,-0.021220812,-1.750869961,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-02,2009,7,2,183,0,0,0,-0.014147208,-2.443697499,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-09,2009,7,9,190,0.056588832,0.021220812,0.077809644,0.077809644,-1.089324144,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-16,2009,7,16,197,0.205134517,0.007073604,0.212208121,0.134398477,-0.665932217,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-23,2009,7,23,204,0.544667511,0.007073604,0.551741115,0.339532994,-0.255440172,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2009-07-30,2009,7,30,211,0.799317256,0.007073604,0.80639086,0.254649745,-0.091519882,30,259.02941176470586,3.1941176470588237,3.201397058823529,NaN,259.45,2.9,2.9775,NA,192.4,0.6,0.535,NA,355.9,7,6.82,NA,30.84554140936095,1.2353295979965326,1.1320096340344639,NaN,0.38675143952009305,0.3535986362311654,NaN
Midge,2009-08-06,2009,8,6,218,0.346606598,0.007073604,0.353680202,-0.452710658,-0.446991049,31,270.7840579710145,2.993478260869565,2.932355072463768,NaN,273.05,2.7,2.6775,NA,205.1,0.4,0.94,NA,332.3,7.3,5.795,NA,21.71652217178181,1.3664492064583047,1.0795056979170587,NaN,0.45647540666000014,0.36813607876281396,NaN
Midge,2009-08-13,2009,8,13,225,0.07073604,0,0.07073604,-0.282944161,-1.128800578,32,258.5705882352941,1.4029411764705881,1.431470588235294,NaN,269.35,1.2999999999999998,1.245,NA,181.9,0.4,0.43,NA,334.4,3,2.8,NA,39.93691638763043,0.7513564679228382,0.6999226466045705,NaN,0.5355580693789622,0.488953564506994,NaN
Midge,2009-08-20,2009,8,20,232,3.246784251,0.007073604,3.253857855,3.183121815,0.512878806,33,292.06136363636364,1.8113636363636363,1.7425,NaN,288,1.7,1.5575,NA,220.2,0.2,0.565,NA,358.2,4.1,3.99,NA,32.912563628633976,0.9805589078021728,0.8116789232317202,NaN,0.5413374145959298,0.4658128684256644,NaN
Midge,2009-08-27,2009,8,27,239,0.983230961,0,0.983230961,-2.270626895,-0.005757233,34,297.80367647058824,3.3713235294117645,3.432860294117647,NaN,292.9,3.4,3.4625000000000004,NA,230.9,0.4,1.04,NA,358.1,6.4,6.34,NA,26.84389552811184,1.332883706868254,1.1748017274656217,NaN,0.39535918022700667,0.342222411287373,NaN
Midge,2009-09-01,2009,9,1,244,0.558814719,0,0.558814719,-0.424416242,-0.249943322,35,282.7733870967742,2.667741935483871,2.675774193548387,NaN,275.20000000000005,2.7,2.6574999999999998,NA,216.4,0.4,0.49,NA,358.3,4.8,4.45,NA,26.811058599597512,0.9937649840029434,0.8678228607858846,NaN,0.3725116626855048,0.3243258952412015,NaN
Midge,2009-09-08,2009,9,8,251,0.261723349,0,0.261723349,-0.297091369,-0.57622453,36,282.83660714285713,2.929464285714286,2.8906875,NaN,272.85,3.05,2.94,NA,180.8,0.5,0.565,NA,347.7,5.4,4.9,NA,34.774970276826735,1.1849383906785995,1.1225433640473168,NaN,0.4044897889545966,0.3883309295962697,NaN
Midge,2009-09-15,2009,9,15,258,0.099030457,0,0.099030457,-0.162692893,-0.988723737,37,299.0983870967742,3.6266129032258063,3.7201209677419356,NaN,303.5,3.8,4.074999999999999,NA,223.7,0.6,0.76,NA,359.9,7.9,6.185,NA,36.86524347185546,1.498677404500042,1.3752153510161962,NaN,0.4132443810496002,0.3696695249807787,NaN
Midge,2009-09-21,2009,9,21,264,4.562474601,0,4.562474601,4.463444145,0.659543003,38,281.1373134328358,2.6850746268656716,2.7219402985074628,NaN,280,2.9,2.76,NA,182.6,0.2,0.3,NA,347.4,5.2,4.655,NA,27.62922714577805,1.1867007653438424,1.1270882824258832,NaN,0.44196193039487186,0.4140753134974731,NaN
Midge,2009-10-05,2009,10,5,278,0.756875632,0,0.756875632,-3.80559897,-0.118914698,40,261.9326388888889,4.454166666666667,4.500090277777778,NaN,261.29999999999995,4.4,4.362500000000001,NA,215,1.9,2.075,NA,332.9,8.1,7.68,NA,20.114920982554743,1.3219965299405385,1.2564259606479533,NaN,0.2967999693037692,0.27920016779494433,NaN
Midge,2010-04-15,2010,4,15,105,0.028294416,0,0.028294416,-0.728581215,-1.496285346,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2010-04-30,2010,4,30,120,0.099030457,0,0.099030457,0.07073604,-0.988723737,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2010-05-13,2010,5,13,133,0,0,0,-0.099030457,-2.443697499,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2010-05-25,2010,5,25,145,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,21,289.3041666666667,2.2825,2.19075,NaN,285.4,2.2,2.16,NA,218.4,0.3,0.56,NA,356.5,5.3,3.79,NA,28.917167695592426,0.9504233908362842,0.7854508553808365,NaN,0.4163957900706612,0.3585305741781748,NaN
Midge,2010-06-04,2010,6,4,155,0.148545685,0,0.148545685,0.099030457,-0.81774036,22,286.70361445783135,2.0120481927710845,2.0098795180722893,NaN,283,2,2.01,NA,211.1,0.2,0.9,NA,356.4,4.4,3.85,NA,29.4080271345615,0.8794950866293857,0.7029354721380966,NaN,0.43711432449244914,0.3497401042288815,NaN
Midge,2010-06-10,2010,6,10,161,0.014147208,0,0.014147208,-0.134398477,-1.750869961,23,264.34285714285716,3.1285714285714286,3.4314285714285715,NaN,266,3.3,3.51,NA,249,1.1,1.45,NA,279,5.5,5.01,NA,10.533574439675757,1.3719988893512094,1.1398600582444112,NaN,0.4385384577834916,0.3321823650171057,NaN
Midge,2010-06-15,2010,6,15,166,0.021220812,0,0.021220812,0.007073604,-1.605184015,24,308.2108333333333,3.695,3.696083333333333,NaN,311.85,3.45,3.4400000000000004,NA,190,0.9,1.09,NA,359.5,7.9,7.59,NA,34.49920909051611,1.5565448701444844,1.4993490440929387,NaN,0.4212570690512813,0.4056588850611067,NaN
Midge,2010-06-24,2010,6,24,175,0.07073604,0,0.07073604,0.049515228,-1.128800578,25,276.94772727272726,4.253030303030303,4.256439393939394,NaN,276.05,4.25,4.220000000000001,NA,208.6,0.9,1.01,NA,357.8,9.6,7.64,NA,32.073806739530404,1.80586150779462,1.53720134942215,NaN,0.4246058408067151,0.3611472423666882,NaN
Midge,2010-07-01,2010,7,1,182,1.485456847,0.43856345,1.924020297,1.853284257,0.285021491,26,287.67832167832165,4.4237762237762235,4.292797202797203,NaN,291.2,4,4.04,NA,218,0.9,1.82,NA,355.3,10.5,8.42,NA,27.58283845881511,1.6963074247167045,1.4647051357321066,NaN,0.3834523581006778,0.3412006359810566,NaN
Midge,2010-07-08,2010,7,8,189,0.063662436,0,0.063662436,-1.860357861,-1.172227408,27,212.98771929824562,3.2508771929824563,3.230175438596491,NaN,204.5,3.3,3.01,NA,180.2,0.6,0.69,NA,304,6.1,5.82,NA,30.34754679527207,1.1970384298368475,1.0292169201250432,NaN,0.3682201322218041,0.3186257030584807,NaN
Midge,2010-07-15,2010,7,15,196,0.028294416,0.028294416,0.056588832,-0.007073604,-1.220484084,28,241.64878048780488,2.3341463414634145,2.3365853658536584,NaN,209.1,2.2,2.41,NA,181.3,0.3,0.67,NA,359.1,5.2,4.74,NA,59.89247082042626,1.1071607281911604,1.015836132838603,NaN,0.4743321824016466,0.43475241593301384,NaN
Midge,2010-07-22,2010,7,22,203,0.290017765,0.198060913,0.488078678,0.431489846,-0.308318625,29,290.2263888888889,3.9972222222222222,4.007777777777778,NaN,287.5,3.6,3.86,NA,231.6,0.9,1.49,NA,345.5,8.8,7.02,NA,27.53589135551658,1.5839202690803038,1.3600855816575625,NaN,0.3962552445232171,0.3393615257809277,NaN
Midge,2010-07-29,2010,7,29,210,0.106104061,0,0.106104061,-0.381974618,-0.959777296,30,293.28920863309355,4.329496402877698,4.3835251798561155,NaN,293.1,4.4,4.62,NA,205.1,1.2,1.4,NA,359.3,8,7.67,NA,35.15408461774007,1.7274196739818126,1.580114132416652,NaN,0.3989885920296975,0.36046653494266406,NaN
Midge,2010-08-05,2010,8,5,217,8.742974585,7.002867993,15.74584258,15.63973852,1.197265187,31,254.6639705882353,2.8294117647058825,2.831985294117647,NaN,254.64999999999998,2.75,2.6500000000000004,NA,184.3,0.2,0.69,NA,355.5,6.3,6.17,NA,29.572481384367425,1.2573998831839206,1.1272022526151435,NaN,0.44440328511697813,0.3980254611337388,NaN
Midge,2010-08-12,2010,8,12,224,1.945241109,33.86134251,35.80658362,20.06074104,1.554006548,32,273.25555555555553,3.3666666666666667,3.198888888888889,NaN,279,3.7,3.52,NA,181.5,1.4,1,NA,338.1,4.9,4.87,NA,42.0909168084728,1.1034038245356956,1.2158376170817842,NaN,0.32774371025812743,0.38008122798666405,NaN
