date,log_gloeo,date_1weeklag,ppt_mm,airtemp_min_degrees_C,airtemp_mean_degrees_C,airtemp_max_degrees_C,year,month,week
2005-07-21,-1.089324144,2005-07-14,0,16.9,22.2,27.4,2005,7,29
2005-07-28,-0.340739387,2005-07-21,0,14.5,21.9,29.2,2005,7,30
2005-08-04,-0.932640213,2005-07-28,18.63,12.9,22.2,31.6,2005,8,31
2005-08-11,0.063182233,2005-08-04,0,14.6,21.7,28.9,2005,8,32
2005-08-18,-0.179506147,2005-08-11,0,17,24.1,31.2,2005,8,33
2005-08-25,-0.308318625,2005-08-18,0,7.9,16.6,25.4,2005,8,34
2005-09-03,0.260433047,2005-08-27,0,9,18,27,2005,9,36
2005-09-12,0.510040325,2005-09-05,0,7.4,15.3,23.3,2005,9,37
2005-09-20,-1.750869961,2005-09-13,0,12.2,20.4,28.7,2005,9,38
2005-09-25,-0.726966985,2005-09-18,0.2,15.7,19.2,22.7,2005,9,39
2006-06-29,-0.473583965,2006-06-22,0,11.7,18.8,25.9,2006,6,26
2006-07-06,-0.553663939,2006-06-29,36.5,16.6,19.3,22,2006,7,27
2006-07-13,0.359527024,2006-07-06,0,14.5,20.2,25.8,2006,7,28
2006-07-17,0.511934705,2006-07-10,0,14.3,21.5,28.6,2006,7,29
2006-07-23,-1.971688914,2006-07-16,0,17.6,23,28.5,2006,7,30
2006-07-31,0.521284606,2006-07-24,0,11.5,16.8,22,2006,7,31
2006-08-07,0.267127276,2006-07-31,0,10.4,18.6,26.8,2006,8,32
2006-08-14,0.030078989,2006-08-07,1.91,11.6,18.7,25.8,2006,8,33
2006-08-21,-0.021608123,2006-08-14,0,6.8,14.4,21.9,2006,8,34
2006-08-28,0.052425759,2006-08-21,5.94,15.4,18,20.7,2006,8,35
2006-09-08,0.456568863,2006-09-01,0,7.2,13.8,20.3,2006,9,36
2006-09-12,-0.455675676,2006-09-05,0,12.7,16.1,19.5,2006,9,37
2006-09-18,-0.564797755,2006-09-11,0,3.8,10.3,16.8,2006,9,38
2007-06-21,-2.443697499,2007-06-14,0.31,10.6,13.3,16.1,2007,6,25
2007-06-28,-1.750869961,2007-06-21,0.23,11.7,17.9,24.1,2007,6,26
2007-07-05,-0.612427707,2007-06-28,0.69,18.3,25.6,33,2007,7,27
2007-07-12,-1.128800578,2007-07-05,8.99,11.8,18,24.2,2007,7,28
2007-07-19,-0.542808437,2007-07-12,13.74,14.6,21.1,27.6,2007,7,29
2007-07-26,-0.135381418,2007-07-19,9.2,16,17.4,18.7,2007,7,30
2007-08-02,0.67214157,2007-07-26,0,14.3,21.5,28.6,2007,8,31
2007-08-09,1.210141181,2007-08-02,0,14.8,22.1,29.3,2007,8,32
2007-08-16,0.193066936,2007-08-09,5.59,12.9,20.9,29,2007,8,33
2007-08-23,-0.179506147,2007-08-16,0,11.1,18.6,26.1,2007,8,34
2007-08-30,1.354044852,2007-08-23,0,7.4,13.6,19.8,2007,8,35
2007-09-06,0.680555772,2007-08-30,0,12.8,21.1,29.4,2007,9,36
2007-09-13,0.540287667,2007-09-06,0,5.2,13,20.8,2007,9,37
2007-09-20,0.39060672,2007-09-13,0,5.6,12.3,19.1,2007,9,38
2008-06-05,-2.443697499,2008-05-29,0,1.4,9.3,17.2,2008,6,23
2008-06-12,-1.220484084,2008-06-05,1.43,12.7,14.2,15.6,2008,6,24
2008-06-19,-0.239154039,2008-06-12,0,12.5,19.3,26,2008,6,25
2008-06-26,-0.600021616,2008-06-19,0.64,9.7,14.8,19.8,2008,6,26
2008-07-03,0.469265067,2008-06-26,0,10.3,17.9,25.5,2008,7,27
2008-07-10,-0.018391325,2008-07-03,0.02,12.2,19.4,26.6,2008,7,28
2008-07-17,0.571870565,2008-07-10,11.28,17.5,23.7,29.8,2008,7,29
2008-07-24,-0.272360913,2008-07-17,0,12.7,21,29.4,2008,7,30
2008-07-31,1.0409545,2008-07-24,36.63,16.3,17.9,19.4,2008,7,31
2008-08-07,0.078833339,2008-07-31,0,14.9,20.6,26.3,2008,8,32
2008-08-14,-0.582052675,2008-08-07,26.94,15,16.3,17.5,2008,8,33
2008-08-21,-0.193667803,2008-08-14,0,12.1,18,23.8,2008,8,34
2008-08-26,-0.959777296,2008-08-19,5.39,14.5,20.9,27.2,2008,8,35
2008-09-04,-0.122973215,2008-08-28,0,8,16.3,24.5,2008,9,36
2008-09-10,-1.750869961,2008-09-03,0,11.1,18.7,26.3,2008,9,37
2008-09-17,-0.695378271,2008-09-10,14.29,7.5,13.2,18.9,2008,9,38
2008-09-24,-0.638356522,2008-09-17,0,6.6,12.4,18.1,2008,9,39
2009-05-15,-2.443697499,2009-05-08,3.62,7.2,11,14.8,2009,5,20
2009-05-29,-1.750869961,2009-05-22,0,8.9,19.6,30.3,2009,5,22
2009-06-04,-1.971688914,2009-05-28,12.59,6.4,8,9.7,2009,6,23
2009-06-17,-1.409291661,2009-06-10,9.29,10,11.3,12.7,2009,6,24
2009-06-25,-1.750869961,2009-06-18,0,6.8,14.4,22,2009,6,26
2009-07-02,-2.443697499,2009-06-25,1.53,16.4,19.5,22.6,2009,7,27
2009-07-09,-1.089324144,2009-07-02,15.3,14.5,16.1,17.6,2009,7,28
2009-07-16,-0.665932217,2009-07-09,0.9,11.5,15,18.5,2009,7,29
2009-07-23,-0.255440172,2009-07-16,0,10.9,17.4,23.9,2009,7,30
2009-07-30,-0.091519882,2009-07-23,0,14.4,18.5,22.6,2009,7,31
2009-08-06,-0.446991049,2009-07-30,27.64,18,23.3,28.7,2009,8,32
2009-08-13,-1.128800578,2009-08-06,0,10.8,18.5,26.2,2009,8,33
2009-08-20,0.512878806,2009-08-13,0,16.6,20.3,24.1,2009,8,34
2009-08-27,-0.005757233,2009-08-20,0,15,21.8,28.6,2009,8,35
2009-09-01,-0.249943322,2009-08-25,1.04,15.6,20.4,25.3,2009,9,35
2009-09-08,-0.57622453,2009-09-01,0,5.5,11.9,18.4,2009,9,36
2009-09-15,-0.988723737,2009-09-08,0,7.8,13.7,19.6,2009,9,37
2009-09-21,0.659543003,2009-09-14,0,8.7,15.6,22.4,2009,9,38
2009-10-05,-0.118914698,2009-09-28,9.46,9.8,12.9,16,2009,10,40
2010-04-15,-1.496285346,2010-04-08,0,5.6,17,28.3,2010,4,15
2010-04-30,-0.988723737,2010-04-23,0.33,4,11.5,19.1,2010,4,18
2010-05-13,-2.443697499,2010-05-06,1.29,7.1,15.7,24.4,2010,5,19
2010-05-25,-1.27478095,2010-05-18,0,4.3,13.8,23.2,2010,5,21
2010-06-04,-0.81774036,2010-05-28,0,7.9,16.5,25,2010,6,23
2010-06-10,-1.750869961,2010-06-03,0.9,15.1,21.5,27.9,2010,6,23
2010-06-15,-1.605184015,2010-06-08,0,5.9,12.6,19.3,2010,6,24
2010-06-24,-1.128800578,2010-06-17,1.95,10.5,15.1,19.7,2010,6,25
2010-07-01,0.285021491,2010-06-24,0,17.1,21.9,26.7,2010,7,26
2010-07-08,-1.172227408,2010-07-01,0,8.3,14.5,20.8,2010,7,27
2010-07-15,-1.220484084,2010-07-08,0,20.1,26.9,33.8,2010,7,28
2010-07-22,-0.308318625,2010-07-15,3.22,19,22.2,25.4,2010,7,29
2010-07-29,-0.959777296,2010-07-22,12.31,15,22.1,29.1,2010,7,30
2010-08-05,1.197265187,2010-07-29,2.7,17.2,23.6,29.9,2010,8,31
2010-08-12,1.554006548,2010-08-05,0,20,25.1,30.1,2010,8,32
2010-08-19,1.646874271,2010-08-12,0,14.4,21.1,27.7,2010,8,33
2010-08-26,0.674747961,2010-08-19,0,13.8,20.4,27,2010,8,34
2010-09-02,-0.302115104,2010-08-26,7.16,14.2,16.3,18.5,2010,9,35
2010-09-09,-0.390623935,2010-09-02,0,17.8,25.1,32.5,2010,9,36
2010-09-16,-0.81774036,2010-09-09,0,12.3,17.8,23.3,2010,9,37
2010-09-23,-1.27478095,2010-09-16,0,4.2,10,15.8,2010,9,38
2010-09-30,-1.750869961,2010-09-23,1.03,9.2,16.8,24.3,2010,9,39
2010-10-07,-1.336849366,2010-09-30,0.37,13.6,18.3,23,2010,10,40
2011-04-28,-2.443697499,2011-04-21,0.52,2.4,4.6,6.8,2011,4,17
2011-05-05,-2.443697499,2011-04-28,0.56,10,17.7,25.4,2011,5,18
2011-05-12,-2.443697499,2011-05-05,11.22,5.1,8.7,12.4,2011,5,19
2011-05-19,-2.443697499,2011-05-12,0,4,11.4,18.8,2011,5,20
2011-05-26,-2.443697499,2011-05-19,17.71,10.9,12.4,13.9,2011,5,21
2011-06-02,-1.971688914,2011-05-26,0,11.6,18.3,24.9,2011,6,22
2011-06-10,-2.443697499,2011-06-03,0.01,9,13.6,18.2,2011,6,23
2011-06-16,-2.443697499,2011-06-09,4.45,16.6,24.1,31.7,2011,6,24
2011-06-23,-1.971688914,2011-06-16,9.36,11.1,18.5,25.8,2011,6,25
2011-06-30,-2.443697499,2011-06-23,32.06,15.4,18.8,22.3,2011,6,26
2011-07-07,-2.443697499,2011-06-30,0,13.6,19,24.3,2011,7,27
2011-07-14,-0.665932217,2011-07-07,8.43,15.3,22.6,30,2011,7,28
2011-07-21,-0.79800432,2011-07-14,12.47,11.9,19.4,26.9,2011,7,29
2011-07-28,-0.638356522,2011-07-21,0,16.7,23.6,30.5,2011,7,30
2011-08-04,-0.072958881,2011-07-28,0,12.6,18.8,25.1,2011,8,31
2011-08-11,-0.761034826,2011-08-04,0,14.6,20,25.3,2011,8,32
2011-08-18,0.613449653,2011-08-11,1.05,14.5,19.8,25.1,2011,8,33
2011-08-25,0.377926019,2011-08-18,0,12.3,19.2,26.1,2011,8,34
2011-09-01,0.024307891,2011-08-25,0,13.2,18.9,24.6,2011,9,35
2011-09-08,-0.33405872,2011-09-01,0,13.2,19.5,25.8,2011,9,36
2011-09-15,-1.220484084,2011-09-08,22.23,13.3,14,14.7,2011,9,37
2011-09-22,-1.750869961,2011-09-15,1.02,14.3,19.2,24.1,2011,9,38
2011-09-29,-2.443697499,2011-09-22,12.1,10.2,16.3,22.5,2011,9,39
2011-10-06,-2.443697499,2011-09-29,12.71,14.8,18.2,21.6,2011,10,40
2012-02-16,-2.443697499,2012-02-09,0,-10.7,-4.5,1.6,2012,2,7
2012-03-29,-2.443697499,2012-03-22,0,7.1,16.8,26.5,2012,3,13
2012-04-13,-2.443697499,2012-04-06,0,-3.3,1.2,5.8,2012,4,15
2012-04-19,-2.443697499,2012-04-12,0.92,-0.9,5.6,12.2,2012,4,16
2012-05-03,-2.443697499,2012-04-26,0.72,-0.8,5.7,12.2,2012,5,18
2012-05-10,-2.443697499,2012-05-03,2.55,5.4,7.6,9.7,2012,5,19
2012-05-17,-2.443697499,2012-05-10,11.03,9.3,13,16.6,2012,5,20
2012-05-24,-2.443697499,2012-05-17,10.31,7.5,15.2,22.9,2012,5,21
2012-05-31,-2.443697499,2012-05-24,0.39,14.4,20.1,25.8,2012,5,22
2012-06-07,-1.27478095,2012-05-31,0,12.2,18.6,25,2012,6,23
2012-06-14,-0.838416159,2012-06-07,3.66,8.7,13.6,18.4,2012,6,24
2012-06-21,-0.289967733,2012-06-14,2.19,10,16.8,23.6,2012,6,25
2012-06-28,-1.971688914,2012-06-21,0,19.8,26.4,32.9,2012,6,26
2012-07-05,-0.511780809,2012-06-28,0,13.8,16.7,19.6,2012,7,27
2012-07-12,-0.932640213,2012-07-05,0.54,16.4,22.8,29.3,2012,7,28
2012-07-19,-0.542808437,2012-07-12,0,13.8,21.4,29.1,2012,7,29
2012-07-26,-0.302115104,2012-07-19,0,11.2,19.9,28.6,2012,7,30
2012-08-02,-0.165791735,2012-07-26,0,14.6,19.9,25.3,2012,8,31
2012-08-09,0.071078287,2012-08-02,0.68,14.9,21.4,27.8,2012,8,32
2012-08-16,-0.79800432,2012-08-09,0,14.7,22.2,29.7,2012,8,33
2012-08-23,-0.553663939,2012-08-16,0.22,16.8,21.5,26.1,2012,8,34
2012-08-30,-0.165791735,2012-08-23,0,10.9,18.8,26.7,2012,8,35
2012-09-06,-0.244515176,2012-08-30,0,9.4,15.9,22.5,2012,9,36
2012-09-13,-0.188895757,2012-09-06,0.37,15.4,19.6,23.8,2012,9,37
2012-09-20,-0.482822866,2012-09-13,0,6.7,15.8,25,2012,9,38
2012-09-27,-1.605184015,2012-09-20,0,2.8,10.3,18,2012,9,39
2012-10-05,-1.496285346,2012-09-28,0.33,4,10.1,16.2,2012,10,40
2013-04-24,-2.443697499,2013-04-17,1.94,3,10,16.9,2013,4,17
2013-05-02,-2.443697499,2013-04-25,0.35,4.4,14,23.7,2013,5,18
2013-05-14,-2.443697499,2013-05-07,0,3.7,14,24.4,2013,5,20
2013-05-23,-2.443697499,2013-05-16,3.31,2.8,9.8,16.8,2013,5,21
2013-05-30,-2.443697499,2013-05-23,9.39,10.4,14.5,18.7,2013,5,22
2013-06-06,-2.443697499,2013-05-30,3.47,9.7,14.2,18.6,2013,6,23
2013-06-13,-1.605184015,2013-06-06,0,8,15.2,22.4,2013,6,24
2013-06-20,-1.605184015,2013-06-13,0,8,12.7,17.5,2013,6,25
2013-06-27,-1.605184015,2013-06-20,0,5.8,13.7,21.5,2013,6,26
2013-07-03,-1.172227408,2013-06-26,5.6,17.1,23.9,30.7,2013,7,27
2013-07-11,-1.128800578,2013-07-04,0,18.1,23.8,29.5,2013,7,28
2013-07-18,-1.089324144,2013-07-11,18.19,17.5,21.7,25.8,2013,7,29
2013-07-25,-0.43847669,2013-07-18,0,19.3,26.1,32.9,2013,7,30
2013-08-01,-0.266647102,2013-07-25,0,8,16.2,24.4,2013,8,31
2013-08-08,-0.361421052,2013-08-01,0,12.2,19.2,26.3,2013,8,32
2013-08-15,-0.261007489,2013-08-08,0.13,12.7,19,25.3,2013,8,33
2013-08-22,0.464020014,2013-08-15,0,8.1,14.4,20.6,2013,8,34
2013-08-29,0.200874374,2013-08-22,0,14.5,21.6,28.8,2013,8,35
2013-09-05,0.624529027,2013-08-29,23.63,15.6,21.9,28.1,2013,9,36
2013-09-11,0.975287543,2013-09-04,0,12.7,18.1,23.5,2013,9,37
2013-09-18,1.911903337,2013-09-11,4.88,12.7,17.4,22.2,2013,9,38
2013-09-25,-0.33405872,2013-09-18,0,1.8,9.2,16.6,2013,9,39
2013-10-02,-0.625198638,2013-09-25,0,5.7,11,16.4,2013,10,40
2013-10-09,-1.496285346,2013-10-02,0,5.9,14.5,23.1,2013,10,41
2014-05-29,-2.443697499,2014-05-22,0,6.2,15.1,24.1,2014,5,22
2014-06-05,-1.971688914,2014-05-29,1,3.2,6.9,10.6,2014,6,23
2014-06-12,-2.443697499,2014-06-05,0,11,15.9,20.8,2014,6,24
2014-06-19,-0.860125707,2014-06-12,3.72,10.7,15.2,19.6,2014,6,25
2014-06-26,-0.638356522,2014-06-19,0,14.6,20.1,25.5,2014,6,26
2014-07-02,0.122662711,2014-06-25,0,16.6,20.7,24.9,2014,7,27
2014-07-09,0.571870565,2014-07-02,0,19.5,25,30.4,2014,7,28
2014-07-17,-0.028114094,2014-07-10,4.78,13.4,20.3,27.2,2014,7,29
2014-07-23,0.236155645,2014-07-16,22.06,18.2,22.8,27.3,2014,7,30
2014-07-30,0.115658146,2014-07-23,0,17.5,23.6,29.7,2014,7,31
2014-08-06,0.232573947,2014-07-30,0,10.6,16.2,21.8,2014,8,32
2014-08-12,-0.233858277,2014-08-05,0.01,14.3,20.3,26.3,2014,8,32
2014-08-20,0.389355182,2014-08-13,2.31,14.9,20.2,25.5,2014,8,34
2014-08-27,-0.511780809,2014-08-20,0,7.9,15.7,23.6,2014,8,35
2014-09-04,0.060517987,2014-08-28,3.37,13.2,20.8,28.5,2014,9,36
2014-09-10,-0.390623935,2014-09-03,7.63,15.8,21.9,27.9,2014,9,37
2014-09-17,0.294479877,2014-09-10,0,6.8,13.2,19.6,2014,9,38
2014-09-25,-0.988723737,2014-09-18,0,4.7,11.5,18.3,2014,9,39
2014-10-03,-1.750869961,2014-09-26,0,5.8,11.4,17.1,2014,10,40
2014-10-10,-0.882977839,2014-10-03,0,5.3,12,18.8,2014,10,41
2015-05-14,-2.443697499,2015-05-07,0,3.5,13.9,24.4,2015,5,20
2015-05-21,-1.971688914,2015-05-14,0,0.4,7.4,14.4,2015,5,21
2015-05-28,-0.882977839,2015-05-21,0,1.9,7.6,13.2,2015,5,22
2015-06-05,-1.971688914,2015-05-29,4.45,11.7,19.5,27.4,2015,6,23
2015-06-11,-1.750869961,2015-06-04,0,6.2,12.4,18.6,2015,6,24
2015-06-19,-1.019738166,2015-06-12,0,13.1,20.2,27.3,2015,6,25
2015-07-02,-1.089324144,2015-06-25,0,11.3,18.1,25,2015,7,27
2015-07-09,-1.336849366,2015-07-02,14.45,12.8,17.8,22.8,2015,7,28
2015-07-16,-0.710885488,2015-07-09,0.19,11.9,18.3,24.8,2015,7,29
2015-07-30,0.147420803,2015-07-23,2.31,12.4,17.8,23.3,2015,7,31
2015-08-06,-0.726966985,2015-07-30,0,16.4,24.3,32.1,2015,8,32
2015-08-13,-0.413891563,2015-08-06,0,10.7,17.9,25.1,2015,8,33
2015-08-20,-0.095329208,2015-08-13,0.16,12.9,19.4,25.8,2015,8,34
2015-08-25,-0.174886389,2015-08-18,0,15.6,22.9,30.3,2015,8,34
2015-09-03,-0.021608123,2015-08-27,0,13.2,18.7,24.3,2015,9,36
2015-09-10,1.149476731,2015-09-03,0,13.8,21.3,28.8,2015,9,37
2015-09-17,0.323140758,2015-09-10,8.3,17.6,24.3,31,2015,9,38
2015-09-24,-0.110909702,2015-09-17,0,11.5,19.5,27.5,2015,9,39
2015-10-02,-0.413891563,2015-09-25,0,6.3,14.4,22.5,2015,10,40
2015-10-12,-1.172227408,2015-10-05,0,-0.2,6.9,14,2015,10,41
2016-05-26,-0.988723737,2016-05-19,0,5,12,19,2016,5,21
2016-06-03,-1.172227408,2016-05-27,2.05,12.7,20.8,28.9,2016,6,23
2016-06-16,-0.959777296,2016-06-09,0.87,9.3,14.1,18.9,2016,6,24
2016-06-23,0.206639202,2016-06-16,0,8.7,17.1,25.5,2016,6,25
2016-06-30,0.547313691,2016-06-23,3.74,8.2,14.4,20.6,2016,6,26
2016-07-07,-0.511780809,2016-06-30,0.04,12.9,19.9,27,2016,7,27
2016-07-14,0.947768179,2016-07-07,0,16.3,23.8,31.3,2016,7,28
2016-07-21,0.561876942,2016-07-14,0,16.8,24,31.2,2016,7,29
2016-07-27,0.868968494,2016-07-20,0,8.8,15.5,22.1,2016,7,30
2016-08-04,0.210440342,2016-07-28,0,15,22.7,30.4,2016,8,31
2016-08-15,0.613823556,2016-08-08,0,11.7,19.2,26.7,2016,8,33
2016-08-22,-0.233858277,2016-08-15,0,18.5,24.4,30.3,2016,8,34
2016-08-31,0.340313935,2016-08-24,0,8.9,16.8,24.8,2016,8,35
2016-09-07,-0.255440172,2016-08-31,0,10.6,18.1,25.6,2016,9,36
2016-09-14,0.160353031,2016-09-07,0.45,15.8,20.4,25,2016,9,37
2016-09-21,0.021393327,2016-09-14,0,8.1,17.1,26.2,2016,9,38
2016-09-28,-0.959777296,2016-09-21,0,11,19,27.1,2016,9,39
2016-10-05,-0.860125707,2016-09-28,0.4,8,14.3,20.5,2016,10,40
