"year","date","season_week","daylength"
2009,2009-05-29,1,15.1024637991715
2009,2009-06-04,2,15.2393831279041
2009,2009-06-11,3,15.3532939261784
2009,2009-06-17,4,15.4083323931586
2009,2009-06-25,5,15.4175815089021
2009,2009-07-02,6,15.365408971586
2009,2009-07-09,7,15.2594533653071
2009,2009-07-16,8,15.1042509154612
2009,2009-07-23,9,14.9057802922791
2009,2009-07-30,10,14.6707171715547
2009,2009-08-06,11,14.405761486518
2009,2009-08-13,12,14.1171389245209
2009,2009-08-20,13,13.810306529702
2009,2009-08-27,14,13.4898408040286
2009,2009-09-01,15,13.2546820281156
2009,2009-09-08,16,12.9190870630494
2009,2009-09-15,17,12.5783321725195
2009,2009-09-21,18,12.2837673445562
2009,2009-09-24,19,12.1360265969461
2009,2009-10-05,20,11.594505609785
2010,2010-05-25,1,14.9929725977947
2010,2010-06-04,2,15.2393831279041
2010,2010-06-10,3,15.3402199101239
2010,2010-06-15,4,15.3945022336577
2010,2010-06-24,5,15.4204719010203
2010,2010-07-01,6,15.3762371840089
2010,2010-07-08,7,15.2777298361676
2010,2010-07-15,8,15.1292221963771
2010,2010-07-22,9,14.9365323602849
2010,2010-07-29,10,14.706280766709
2010,2010-08-05,11,14.4451990975216
2010,2010-08-12,12,14.1596035159914
2010,2010-08-19,13,13.855071542357
2010,2010-08-26,14,13.5363065797802
2010,2010-09-02,15,13.207146755705
2010,2010-09-09,16,12.8706704313033
2010,2010-09-16,17,12.5293593282369
2010,2010-09-23,18,12.1852930375104
2010,2010-09-30,19,11.8403604785873
2010,2010-10-07,20,11.4964822771428
2011,2011-05-26,1,15.0216267474294
2011,2011-06-02,2,15.1975795090023
2011,2011-06-10,3,15.3402199101239
2011,2011-06-16,4,15.4019878214512
2011,2011-06-23,5,15.4222075369022
2011,2011-06-30,6,15.3859541078757
2011,2011-07-07,7,15.2949832918486
2011,2011-07-14,8,15.1532904770771
2011,2011-07-21,9,14.966517715589
2011,2011-07-28,10,14.7412159159071
2011,2011-08-04,11,14.4841376975531
2011,2011-08-11,12,14.2016831387095
2011,2011-08-18,13,13.8995475483776
2011,2011-08-25,14,13.5825614934983
2011,2011-09-01,15,13.2546820281156
2011,2011-09-08,16,12.9190870630494
2011,2011-09-15,17,12.5783321725195
2011,2011-09-22,18,12.2345417483178
2011,2011-09-29,19,11.8896185585657
2011,2011-10-06,20,11.5454647298166
2012,2012-05-24,1,14.9929725977947
2012,2012-05-31,2,15.1752129460143
2012,2012-06-07,3,15.3108207709274
2012,2012-06-14,4,15.3945022336577
2012,2012-06-21,5,15.4227863696666
2012,2012-06-28,6,15.3945505467817
2012,2012-07-05,7,15.3111988292849
2012,2012-07-12,8,15.1764372536955
2012,2012-07-19,9,14.9957164645562
2012,2012-07-26,10,14.7755032008992
2012,2012-08-02,11,14.5225596307717
2012,2012-08-09,12,14.2433625819525
2012,2012-08-16,13,13.9437219614149
2012,2012-08-23,14,13.6285954040639
2012,2012-08-30,15,13.3020608852897
2012,2012-09-06,16,12.9673991122771
2012,2012-09-13,17,12.627243438708
2012,2012-09-20,18,12.2837673445562
2012,2012-09-27,19,11.9388919591213
2012,2012-10-05,20,11.5454647298166
2013,2013-05-23,1,14.9332189720827
2013,2013-05-30,2,15.1276370643759
2013,2013-06-06,3,15.2771711961011
2013,2013-06-13,4,15.3761348753234
2013,2013-06-20,5,15.4204708317832
2013,2013-06-27,6,15.4083499872704
2013,2013-07-03,7,15.3534795919349
2013,2013-07-11,8,15.2198942040957
2013,2013-07-18,9,15.0516749722145
2013,2013-07-25,10,14.8420557269521
2013,2013-08-01,11,14.5977813540427
2013,2013-08-08,12,14.3254582393278
2013,2013-08-15,13,14.0311138065254
2013,2013-08-22,14,13.719958000401
2013,2013-08-29,15,13.3963156387955
2013,2013-09-05,16,13.0636821996845
2013,2013-09-11,17,12.7735495995141
2013,2013-09-18,18,12.4312515040551
2013,2013-09-25,19,12.0867478240245
2013,2013-10-02,20,11.741913430484
2014,2014-05-29,1,15.1024637991715
2014,2014-06-05,2,15.2587870311804
2014,2014-06-12,3,15.3652690199832
2014,2014-06-19,4,15.4175777673269
2014,2014-06-26,5,15.4135394783367
2014,2014-07-02,6,15.365408971586
2014,2014-07-09,7,15.2594533653071
2014,2014-07-17,8,15.0783954680112
2014,2014-07-23,9,14.9057802922791
2014,2014-07-30,10,14.6707171715547
2014,2014-08-06,11,14.405761486518
2014,2014-08-12,12,14.1596035159914
2014,2014-08-20,13,13.810306529702
2014,2014-08-27,14,13.4898408040286
2014,2014-09-04,15,13.1116391122564
2014,2014-09-10,16,12.8221558039875
2014,2014-09-17,17,12.4803305755533
2014,2014-09-25,18,12.0867478240245
2014,2014-10-03,19,11.6927363241537
2014,2014-10-10,20,11.3499547517347
2015,2015-05-21,1,14.8703371715488
2015,2015-05-28,2,15.0763916633555
2015,2015-06-05,3,15.2587870311804
2015,2015-06-11,4,15.3532939261784
2015,2015-06-19,5,15.4175777673269
2015,2015-06-25,6,15.4175815089021
2015,2015-07-02,7,15.365408971586
2015,2015-07-09,8,15.2594533653071
2015,2015-07-16,9,15.1042509154612
2015,2015-07-23,10,14.9057802922791
2015,2015-07-30,11,14.6707171715547
2015,2015-08-06,12,14.405761486518
2015,2015-08-13,13,14.1171389245209
2015,2015-08-20,14,13.810306529702
2015,2015-08-25,15,13.5825614934983
2015,2015-09-03,16,13.15946316745
2015,2015-09-10,17,12.8221558039875
2015,2015-09-17,18,12.4803305755533
2015,2015-09-24,19,12.1360265969461
2015,2015-10-02,20,11.741913430484
2016,2016-05-26,1,15.0494395797012
2016,2016-06-03,2,15.2393831279041
2016,2016-06-09,3,15.3402199101239
2016,2016-06-16,4,15.4083323931586
2016,2016-06-23,5,15.4204719010203
2016,2016-06-30,6,15.3762371840089
2016,2016-07-07,7,15.2777298361676
2016,2016-07-14,8,15.1292221963771
2016,2016-07-21,9,14.9365323602849
2016,2016-07-27,10,14.7412159159071
2016,2016-08-04,11,14.4451990975216
2016,2016-08-11,12,14.1596035159914
2016,2016-08-15,13,13.9875818244015
2016,2016-08-22,14,13.6743978417653
2016,2016-08-31,15,13.2546820281156
2016,2016-09-07,16,12.9190870630494
2016,2016-09-14,17,12.5783321725195
2016,2016-09-21,18,12.2345417483178
2016,2016-09-28,19,11.8896185585657
2016,2016-10-05,20,11.5454647298166
